Project Category,Product Category,Insight Category,Number of records,Link
Printers,Printers,Multi-Function Printers,274,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fmulti_function_printers&rows=100&userSegment=CES&tabType=products
Projector,Projector,3D Projectors,91,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprojectors%2F3d_projectors&rows=100&userSegment=CES&tabType=products
Projector,Projector,DLP Projectors,44,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprojectors%2Fdlp_projectors&rows=100&userSegment=CES&tabType=products
Projector,Projector,Home Cinema Projectors,34,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprojectors%2Fhome_cinema_projectors&rows=100&userSegment=CES&tabType=products
Projector,Projector,Interactive projectors,1,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprojectors%2Finteractive_projectors&rows=100&userSegment=CES&tabType=products
Projector,Projector,LCD Projectors,69,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprojectors%2Flcd_projectors&rows=100&userSegment=CES&tabType=products
Projector,Projector,Short Throw Projectors,19,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprojectors%2Fshort_throw_projectors&rows=100&userSegment=CES&tabType=products
"RFID tag, wristband, ID printer","RFID tag, wristband, ID printer",Label Printers,764,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=A960B5B9FEC120695FDF0CB0CECCA974.appprd6-1%2CFD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2%2CFD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Flabel_printers&rows=100&userSegment=CES%2CCES&tabType=products
Scanner,Scanner,Document Scanners,186,https://www.insight.com/en_US/search.html?country=US&q=Scanners&instockOnly=false&selectedFacet=CategoryPath_en_US_ss_lowest_s%3A%22Document+Scanners%22&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&rows=100&userSegment=CES&tabType=products
Scanner,Scanner,Scanners,57,https://www.insight.com/en_US/search.html?country=US&q=Scanners&instockOnly=false&selectedFacet=CategoryPath_en_US_ss_lowest_s%3AScanners&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&rows=100&userSegment=CES&tabType=products
Scanner,Scanner,Sheetfed Scanners,30,https://www.insight.com/en_US/search.html?country=US&q=Scanners&instockOnly=false&selectedFacet=CategoryPath_en_US_ss_lowest_s%3A%22Sheetfed+Scanners%22&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&rows=100&userSegment=CES&tabType=products
Scanner/Barcode scanner,Scanner/Barcode scanner,Flatbed Scanner,16,https://www.insight.com/en_US/search.html?country=US&q=Scanners&instockOnly=false&selectedFacet=CategoryPath_en_US_ss_lowest_s%3A%22Flatbed+Scanners%22&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&rows=100&userSegment=CES&tabType=products
"SFF - PC, MTM - PC",Desktop,Thin Client Desktops,137,https://www.insight.com/en_US/shop/category/desktops/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=7E4D2A0C6650A5A7644CB1019B5D0FFE.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Fdesktops%2Fthin_client_desktops&rows=100&userSegment=CES&tabType=products
Small Form Factor – PC ,Desktop,Small Form Factor Desktops,718,https://www.insight.com/en_US/shop/category/desktops/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=7E4D2A0C6650A5A7644CB1019B5D0FFE.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Fdesktops%2Fsmall_form_factor_desktops&rows=100&userSegment=CES&tabType=products
Tablet,Tablet,Android Tablets,183,https://www.insight.com/en_US/shop/category/tablets/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Felectronics%2Ftablets%2Fandroid_tablets&rows=100&userSegment=CES&tabType=products
Tablet,Tablet,iPad,105,https://www.insight.com/en_US/shop/category/tablets/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Felectronics%2Ftablets%2Fipad&rows=100&userSegment=CES&tabType=products
Tablet,Laptops,Tablet PCs,29,https://www.insight.com/en_US/shop/category/notebooks/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Flaptops%2Ftablet_pcs&rows=100&userSegment=CES&tabType=products
TV Screen,TV Screen,4k UHD TVs,43,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Felectronics%2Ftelevisions%2F4k_uhd_tv&rows=100&userSegment=CES&tabType=products
TV Screen,TV Screen,Digital signages,505,https://www.insight.com/en_US/shop/category/monitors/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fmonitors%2Fdigital_signages&rows=100&userSegment=CES&tabType=products
TV Screen,TV Screen,Interactive displays,123,https://www.insight.com/en_US/shop/category/monitors/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fmonitors%2Finteractive_displays&rows=100&userSegment=CES&tabType=products
TV Screen,TV Screen,LCD TVs,2,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Felectronics%2Ftelevisions%2Flcd_tvs&rows=100&userSegment=CES&tabType=products
TV Screen,TV Screen,LED TVs,47,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Felectronics%2Ftelevisions%2Fled_tvs&rows=100&userSegment=CES&tabType=products
TV Screen,TV Screen,OLED TVs,1,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Felectronics%2Ftelevisions%2Foled_tvs&rows=50&userSegment=CES&tabType=products
TV Screen,TV Screen,Smart TVs,78,https://www.insight.com/en_US/search.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Felectronics%2Ftelevisions%2Fsmart_tvs&rows=100&userSegment=CES&tabType=products
Ultrabook,Laptops,Ultrabooks,67,https://www.insight.com/en_US/shop/category/notebooks/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Flaptops%2Fultrabooks&rows=100&userSegment=CES&tabType=products
Workstation,Workstation,Workstations,510,https://www.insight.com/en_US/shop/category/desktops/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=7E4D2A0C6650A5A7644CB1019B5D0FFE.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Fdesktops%2Fworkstations&rows=100&userSegment=CES&tabType=products
"Inks, alternative inks","Inks, alternative inks",Ink Cartridges,"1,334",https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fprinter_supplies_and_accessories%2Fink_and_toners%2Fink_cartridges&rows=100&userSegment=CES&tabType=products
